Comments,HateSpeech
খানকির পোলাদের কঠোর ভাবে শান্তি দেওয়া হউক ,1
অনেক ভালো লাগে ভাই আপনার ভিডিও গুলো ,0
তোর মত নামধারী মুসলমান মক্কা যাইয়া হজ্জ করলেই হতো না,0
অসুস্থ মস্তিস্কের মানুষ,1
"বাংলাদেশে রিকশাওয়ালা আর সাংবাদিক দুইটাই অনেক বাড়ছে, রিকশাওয়ালা যাত্রী পায়না. সাংবাদিক খবর পায়না",0
কুত্তার বাচ্চার লাগবে মনে হয় ,1
শেখ হাসিনার যে বদনা ব্যবহার করত সেই বদনাটা আপনার জন্য রাখা আছে,0
চশমাটা যদি খুলে প্লেটের মধ্যে পড়ে,0
মানুষকে নিয়ে হাসাটা ঠিক না কিন্তু আমি হাসলে অন্য বিষয়,0
চুর বাটপার যখন নেতা হয় ,1
বর্তমান অবস্থা ভিক্ষা করতে আর গল্প বলতে টাকা লাগে না,0
বাল ছিরু আইছে মডেল করতে।,0
সালি কয় কি,1
পৃথিবীর সর্ব শ্রেষ্ঠ ধর্ম আমাদের ইসলাম ধর্ম। আল কোরআন সর্ব শ্রেষ্ঠ ধর্ম গ্রন্থ।,0
তারেক জিয়ার কাছে আছে লিবিসটিক,0
শয়তান গুলো সব একসাথে। মাঝ খানে মাসুম বাচ্চাটা অসহায়।,1
"এরে তো জুতা ও গ্রহণ করবে না, কতটা খারাপ মেয়ে হলে এমন করে, কয়টা জীবন নষ্ট করছে এই মেয়ে টা,",1
মেয়েটা তো পুরো বিশ্বাস মেয়েটা তো পুরো কুকুর চুদা,1
তোর পুটকির ভিতর বাস দেওয়া হবে।,1
অনেক সুন্দর লাগলো। অনেক দূর যাবে তুমি,0
ভালবাসা না থাকলে বাচ্চা গুলো কেমনে হইল,0
অভিনন্দন আবু হাসানাত আব্দুল্লাহ কে ,0
নিজের মেশিনের নিরাপত্তি দিতে পারে না যে পুলিশ সে জনগণের নিরাপত্তা দিবে কিভাবে প্যান্ট খুলে ধুর,1
তোর বারো বাতারি জামাইকে হিজড়াদের মতো দেখায় কে ,1
"বাংলাদেশের গর্ব, আমেরিকায় বিশিষ্ট চামড়া ব্যাবসায়ী,",0
মাশাআল্লাহ অসাধারণ একটি পূর্ব দেখে খুব ভালো লাগলো,0
খাচ্চর বেডি,1
প্রথমত গান টা গোয়া মেরে দিলো,1
গরুর সাথে মানুষ গরু বেশি ছিলো,1
খুলতে খুলতে একদিন লেঙ্গটা হয়ে যাবে।,1
পাবলিক এগুলো খাচ্ছে হায়ে জাতি আমরা ,1
এত বড় দামরা নাকি এখনো মায়ের কোলে ঘুমায় ,1
"সেইম জিনিস টা আমার ও ফিল হয়, শুধু  দেখি নিশ্বাস নিচ্ছে কি-না এই মুহুর্তে বাবাকে নিয়ে বেশি টেনশন হয়।",0
নারী এক পুরুষে আসক্ত হতে পারেনা তবে সব নারী না,1
আমরা আবার মানুষ হলাম কই,0
ধর্ষন এর বিচার হোক প্রকাশ্যে মৃত্যুদন্ড,1
শালারা কি মাল খেয়ে মাথায় আসার পর নিউজ উপস্থাপন করে,1
ঠিক বলেছেন আপু মনের একখান কথা কইছেন খুব খুব ভালো লাগলো,0
ব্রা ও নিয়ে গেঁছে ,0
স্বপ্নের চাবি হারিয়ে বন্দি জীবন অন্ধকারে।,0
এমন বউ হলে আমিও খাইতাম,0
হোগা লাল করে দিলো ,1
নামায পড়ে কপালে দাগ ফেলে দিছে। ভন্ড লোক একটা। কঠিন শাস্তি হওয়া উচিত,1
বস্তির লোক আসছে মনে হয়  মিলছে আন্দাজ,0
খানকির পোলা এক,1
সত্যিই হাসতে হাসতে আমার পেট ব্যথা হয়ে গেছে অসাধারণ ট্যালেন্ট আপু আপনার,0
দালালের বাচ্চা বলে কি,1
আমার সোনার বাল,1
"মাগীর পোলারা কি বাল খেলে,",1
এটাকে বলা হয় তেল মারানো,0
ভাই বাইক এক্সিডেন্ট মারাত্মক ভাইয়া আমিও করছি ভাই আমিও বুঝি ,0
খুবই সুন্দর একটা ভিডিও। খুব ভালো লাগলো ,0
পাইলসের সমস্যা আছে? থাকলে ঠিক হয়ে যাবে। গরম ডিম থেরাপি কনফার্ম।,0
তোমাদের ভিডিও এবং কথা অনেক সুন্দর লাগে কলিজার ভাইয়া,0
"পরিশেষে বলি, ছোট ভাই টাকা ইনকাম করো! মন ভেঙো না, নিজেকে শক্ত করো। এরকম আরো অনেক আসবে।।",0
ফিল্ডার মারানি ,1
কাপড় খুললে যদি সাহসী হয় তাহলে পশুরা সবথেকে বেশি সাহসী ,0
রতনে রতন চেনে আর জাউরায় জাউরা,0
দালাল!,1
অসাধারণ লাকছে ভাই এই দৃশ্য টা আলমস ভাই,0
এদেশে আমাদের মা বোন নিরাপত্তা নেই,1
আরো ভালো হয় যদি হকারি করত,0
বালা করছে এক নারি হয় না তোর খানকির ছেলে,1
দালাল মাদারচুদ,1
কেউ বাকি থাকল না দালালি ছারা থাকতে,1
"আপনি ও একটা বিয়াদব, নতুন নাটক করতে শুরু করছে",1
এই টুকু লোভ সালাতে পারিস না দেশ কি করে চালাবি?,0
এর মত বোকাচোদার জন্ম হয় কি করে ,1
"সুন্দর জামা, নতুন ওরনা এত সাজিয়ে গুছিয়ে কেম্নে",0
মুখে একটু ক্রিম কখন দিছি ভুলে গেছি,0
ভাই এই বেয়াদব মহিলাটারে আইনের আওতায় আনেন,1
ভয়ংকর এক নির্লজ্জ প্রজন্মের উদয় হয়েছে যাদের ভবিষ্যৎ অন্ধকার,1
"আমাদের গ্রাম্য ভাষা একটা কথা আছে, কোথায় রাজরানী আর কোথায় চুতমারানি,",1
এই বেয়াদপ টা রে শো তে আনার কি দরকার ছিল,1
মানুষের বাচ্চা কি ছাত্র লিগ,0
ভাবতেও কষ্ট লাগে কি পরিমাণ নির্যাতনের শিকার হয়েছে কষ্টে বুক ফেটে যায়,0
বিবাহ ছাড়া এক সাথে থাকে আবার প্রকাশ্যে বলে,1
এইগুলা তে হবে,0
ধরা পড়ছে রে লুচ্চা বদমাইশ,1
বুঝছি আস্তে আস্তে সকল নিউজ চ্যানেল ব্লক করা শুরু করতে হবে,1
"সবার উপরে মানুষ সত্য তাহার উপরে নাই, মানুষ এখন পশুর চাইতেও খারাপ",1
ঐ শালাকে আইনের আওতায় আনা দরকার ছিল আপনারা কি বলেন সবাই?,1
ডিম থেরাপি দিয়ে যান ভালো করে তাহলে মনে রাখবে সেনাবাহিনীর গায়ে হাত দেওয়া,1
"মজার ছলে বাস্তবতা তুলে ধরেছো খুব ভালো লাগলো অসাধারণ ভিডিও,  তোমার জন্য অনেক অনেক ভালোবাসা রইলো পাশে আছি সবসময় পাশে থাকবো",0
"একটা পিক দাও, দেখেই ডিলিট করে দেবো",1
এই মহিলাকে দেখলেই আমার রাগ উঠে কেন জানি না,0
এই মহিলার চুলের মুঠি ধরে চেয়ার থেকে নামানো উচিত ,1
তোমরা পরকীয়া করলে তোমাদের টা কি করা উচিত তোমাদের টা মাঝখান থেকে ফেরে দেব ,1
মাল আউট হয়ে গেছে এজন্য থেমে গেছি,1
ভাদাইমার বাচ্চা ,1
"জনস্বার্থে প্রচারিত, ধিক্কার জানাই কনডম এবং মেডিসিন কোম্পানিকে এত পরীক্ষার পরেও কিভাবে দুর্ঘটনা ঘটে.",1
বাকি সবই বোকা চোদা।,1
সবচেয়ে ভয়ংকর জিনিস হলো ভুল মানুষের প্রতি মায়ায় পড়ে যাওয়া!,0
এতের কথা গুলো শুনি আমার পাদ আসচিল,0
চোপ একদম চোপ কতা কম ,0
সালার পোত কি বলছ,1
সালার পোত কি নাফিত,1
নারী মানে ষড়যন্ত্র।,1
যুগে যুগে এরাই ধর্মকে পুজি করে চুরি করে,0
কুত্তার গু খা,1
দুই জনকে এলাকাবাসী মিলে জোতার মালা দেয়া উচিদ। ,1
কুত্তার বাচ্চা ফুটফুটে সুন্দর ,0
ক্ষমতার লোভে পাগলা কুত্তা হয়ে গেছে,1
এই বেটি একটু বেশি বাল পাকনামি করছে,1
ভাই তারে কেউ একটু চুদে তো পাগল হইয়া যাবে নয়লে,1
শালা ইডিয়েট টা ভালো করে করতে পারিস নাই,1
"একে বলে জাত শিল্পী আর ফারিনের খালি গলায় গান শুনলে মনে হয়, হানিফ সংকেত ধরে এনে শিল্পী বানিয়ে দিলো।",0
সরিল দেখিয়ে আয় করাটাকে বলে নোংরামি,0
"আমি এতো সহজে হাপাই নাহ, ঠাপিয়ে ঠাপিয়ে, ক্লান্ত করে দেই",1
এই মহিলা আস্তা বড় বেয়াদপ।,1
"মানুষে বলে বন্ধু, আমি বলি ভাই ",0
"অত্যন্ত সুন্দর,",0
আপনার প্রত্যেকটা ভিডিও আমার অনেক ভালো লাগে সব সময় দেখি আপনার জন্য দোয়া রইল সবার জন্য রইল শুভকামনা খুব সুন্দর কালেকশন প্রিয় আপুভিডিওটা অনেক অনেক সুন্দর হয়েছে অবিরাম ভালোবাসা দিয়ে গেলাম আমি আপনার পাশে আছি,0
নাটকের নাম কাটুস কুটুস,0
কিছুদিন আগে উনি নিজেই শাকিব খান কে ধুয়ে দিয়েছিলেন আর আজ উনিই উল্টো কথা বলতেছেন.,0
বারো ভাতারি গালাগালির কাজ করছিস তাই জনগন তোকে গালাগালি করছে,1
ভালো লাগার মানুষ অসংখ্য হতে পারে! কিন্তু ভালোবাসার মানুষ একজনই হয়!,0
ছোট বাচ্চাকে এতো বড় গালি কেমনে দেয় মানুষ! ,0
তোমার পুটকিটা এইরকম টাইট আছে নাকি নাকি ফাক হয়েছে,0
ব্লাউজ পরলে সুন্দর লাগতো বেশি,0
"এগুলো দেখলেই খাড়া হয়ে যায় শরীরের লোম,",1
রাজার বাড়ির এই হাল কেন? পরিচালকের কি অর্থ কষ্ট ছিল,0
অসভ্যর মত ট্রল বন্ধ করা উচিত,1
আগে ছিলো চোরের মতো দেখতে।,0
এ কাজটি ভালো লাগলো,0
জামা কাপড় নাই? বেশরম মহিলা ,1
খুব সুন্দর বিনোদন আমাদেরকে উপহার দেওয়ার জন্য ধন্যবাদ বাস্তব জীবনে এরকম হয় খুব ভালো লাগলো ,0
তুমি কতো বালো গো কুটনি বুরি,1
একটু থামেন অনেক তামাশা হয়েছে বেহায়া মেয়ে,1
ঠিকি আছে জতো সব বুকাচুদা লোক,1
খুবই সুন্দর মজার একটি ভিডিও হয়েছে,0
"বাংলার গৌরব। এই সাফল্যের পিছনে ত্যাগ, তিতিক্ষা, শ্রম, মেধা, কঠোর সাধনার সুফল।সারা ভারত বর্ষ তথা ভারতীয় উপমহাদেশের কোটি কোটি শ্রোতা কে কন্ঠের জাদুতে মুগ্ধ করেছেন তিঁনি। যথাযোগ্য সন্মানে ভূষিত করায় অভিনন্দন ও আশীর্বাদ জানাচ্ছি সকলকে। মা সরস্বতীর অধিষ্ঠিন হোক কন্ঠে। অভিনন্দন ও আশীর্বাদ নিরন্তর।",0
কলম্বিয়া ব্রাজিলকে কলঙ্কিত করে ছাড়লো ,1
পুক্কিমারা সারা আকাশ ভরা তারা ,0
বাটপারের ঘরের বাটপার,1
"কত নির্মম বিকৃত মানসিকতা, এর জবাব একদিন পাবে",1
এই সব দুই একটা খানকির কারনে গুটা নারী জাতি কলংকিত হয়।,1
নির্লজ্জতার সীমা পেরিয়ে গেছে,0
বেয়াদব ,1
খানকির পোলাকে  ডিম থেরাপি দেওয়া হোক।।,1
কোকিল তোর কালো পদ দেখে কোকিল ডাকা ভুলে যাবে,0
বুবলি তার স্বামীর কথা বলেছে হিন্দু অপুর সমস্যা কোথায়,0
"গিট্টু লাগারে লাগারে লাগা গিট্টু লাগারে লাগারে লাগা লাগা, লাগা, লাগা, লাগা.",0
অভদ্র আর অশিক্ষিত সমাজ হইলে যা হয়,1
সবার কপালে এমন বৌ থাকুক,0
মোস্তাকের নুনু এতো টুকু,1
হাইরে সাংবাদিক গুলা জিবনেও ভালো হবে না ,0
তরার মত মানুষ রা মনুষ্য জাতির কলঙ্ক। তরা পশুর চেয়েও অধম।,1
অসভ্যটাকে আইনের আওতায় আনা হোক ,1
গরুর হাটে আরেক গরু গেছে,0
অসম্ভব বিশ্বাসঘাতক স্বৈরাচার,1
চোরের ঘরের চোর,1
এটা কোনো পোশাক হয় ,1
টুকাই লীগের দিন শেষ,1
"অমানুষের বাচ্চারা, মাদারচোত দের উলংগ করে পুরা বাংলাদেশ ঘুরা উচিত",1
আবার আকাম করতে পারো এই জন্যই সবাই সহযোগিতা করবে,1
সবাই সুন্দর মাঝেরটা একটু বেশি সুন্দর,0
দুরু খানকির ছেলে,1
এই খানকির ছেলে কুলাঙ্গারের বাচ্চা হল যুব সমাজ ধ্বংসের মূল কারিগর ,1
কেন বরিশালের মানুষ কি আপনাকে পুটকি মারছে ,1
গুতা খান,1
এক শাড়ি বোদার মধ্যে ঘুগডুকি,1
"বিয়ে ছাড়াই, ডেইলি হানিমুন হলে কারী বা বিয়ে করতে ভালো লাগে বলুন",0
হালাই কামডা করলো কি ,1
"এই মাদারচোদ গুলা আবার সেলিব্রিটি ভাব নেয়, খানকি",1
তোরা দুইজন সোনার মাথা খা,0
আরে খানকির পুএ,1
তোমার মায়ার আটকে গেছি প্রিয়! এখন তুমি ছাড়া আর কাউকে ভালো লাগে না!,0
বন্ধ করা হোক কওমে লুতের ধর্ষণের বাতিঘর,1
মাদার ফাকার কুত্তার বাচ্চা ,1
মতি; ছাগলের নেশায় সব হারাইলাম আমি ,0
সাউবাদি গরম ডিম ঢুকাইব অপেক্ষা কর,1
আপনার কথা গুলো সত্যি ভাববার মতো।,0
মতামতের মারে চুদি ,1
এমন চোর দের নিয়ে অনেকে গর্ব ও করে.,0
আতানা তোমায় চোদি,1
আজকের ভিডিওটা অনেক সুন্দর হয়েছে আপু আমি তো হাসতে হাসতে শেষ,0
এই শালারে ও বাদ দেওয়া হোক,1
কত লিটার দূধ দেয়,0
আমার তো ৭ বছরের রিলেশন ছিলো কিন্তু শখের নারী আজ অন্য কারো ,0
আমাদের এখানে বোকাচোদা বলে,1
